#domain,ioc,uri_path
ns1.allegiancefithealth.com,Possible Cobalt Strike C2 Domain,/async/newtab_promos
ns1.amz-proxy.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns1.aptce4.top,Possible Cobalt Strike C2 Domain,/fwlink
ns1.bogotatrade.co,Possible Cobalt Strike C2 Fronted Domain,/search/
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain,/ptj
ns1.bustring.com,Possible Cobalt Strike C2 Domain,/safebrowsing/QVXHQf/QVXHQfXdpinARC06MctcJ4hprcWoBIZaDp2-M
ns1.cdnmax.info,Possible Cobalt Strike C2 Domain,/load
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns1.cnzzxx.top,Possible Cobalt Strike C2 Domain,/match
ns1.corpais900.co,Possible Cobalt Strike C2 Domain,/
ns1.criticallizard.com,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.ctfer.club,Possible Cobalt Strike C2 Domain,/__utm.gif
ns1.ddddmart.xyz,Possible Cobalt Strike C2 Domain,/api/v1
ns1.digitelela.com,Possible Cobalt Strike C2 Fronted Domain,/search/
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/preload
ns1.dnehtb.cn,Possible Cobalt Strike C2 Domain,/admin/facvicon.jpg
ns1.gonamph.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-026249/field-keywords=year
ns1.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.hanqianye.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.4.1.min.js
ns1.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/static/js/jquery3.2.1.js
ns1.imortal.icu,Possible Cobalt Strike C2 Domain,/search/
ns1.microtimezone.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ns1.micsoft.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.mlcr0s0ft.one,Possible Cobalt Strike C2 Domain,/api/3
ns1.myazureonline.com,Possible Cobalt Strike C2 Domain,/fwlink
ns1.niggerasssys.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.njzjamc.cloud,Possible Cobalt Strike C2 Domain,/updates
ns1.opposrv.top,Possible Cobalt Strike C2 Domain,/js/jquery-3.4.1.min.js
ns1.ossqianxin.co,Possible Cobalt Strike C2 Domain,/updates
ns1.peermanshuus.bio,Possible Cobalt Strike C2 Domain,/visit.js
ns1.safesecuredns.co,Possible Cobalt Strike C2 Domain,/fd/ls/l
ns1.scant.online,Possible Cobalt Strike C2 Domain,/pixel
ns1.sfklla.vip,Possible Cobalt Strike C2 Domain,/cm
ns1.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/__utm.gif
ns1.xionoll.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-026249/field-keywords=year
ns2.007work.icu,Possible Cobalt Strike C2 Domain,/ca
ns2.007work.icu,Possible Cobalt Strike C2 Domain,/load
ns2.333ling.com,Possible Cobalt Strike C2 Domain,/ca
ns2.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain,/pixel.gif
ns2.ace3.ru,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js
ns2.allegiancefithealth.com,Possible Cobalt Strike C2 Domain,/async/newtab_promos
ns2.amz-proxy.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns2.aptce4.top,Possible Cobalt Strike C2 Domain,/dot.gif
ns2.bustring.com,Possible Cobalt Strike C2 Domain,/safebrowsing/QVXHQf/QVXHQfXdpinARC06MctcJ4hprcWoBIZaDp2-M
ns2.cdnmax.info,Possible Cobalt Strike C2 Domain,/pixel
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns2.cnzzxx.top,Possible Cobalt Strike C2 Domain,/dot.gif
ns2.corpais900.co,Possible Cobalt Strike C2 Domain,/
ns2.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.ctfer.club,Possible Cobalt Strike C2 Domain,/g.pixel
ns2.ddddmart.xyz,Possible Cobalt Strike C2 Domain,/api/v1
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/preload
ns2.dnehtb.cn,Possible Cobalt Strike C2 Domain,/admin/facvicon.jpg
ns2.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
