#domain,ioc,IPs,C2Domains
"ringatpstul.com","Possible Cobaltstrike DNS C2 Domain","185.74.254.12 31.44.184.97","dns.ringatpstul.com ringatpstul.com"
"rty.contact","Possible Cobaltstrike DNS C2 Domain","46.30.43.121","ns.rty.contact"
"sangfor911.top","Possible Cobaltstrike DNS C2 Domain","42.192.137.198","cs.sangfor911.top ns1.sangfor911.top ns2.sangfor911.top ns3.sangfor911.top"
"securianretirementcenter.center","Possible Cobaltstrike DNS C2 Domain","66.175.213.178","lifeillus.securianretirementcenter.center"
"sky.florist","Possible Cobaltstrike DNS C2 Domain","88.214.26.100","er.sky.florist"
"skytapdns.com","Possible Cobaltstrike DNS C2 Domain","20.94.177.31 23.98.137.196","vigorouseuclid.zscaler.skytapdns.com"
"speech-microsoft.com","Possible Cobaltstrike DNS C2 Domain","206.237.30.76","log.speech-microsoft.com logs.speech-microsoft.com"
"springhealthpharmacy.com","Possible Cobaltstrike DNS C2 Domain","44.208.22.232","measurement.springhealthpharmacy.com"
"sso-epg.com","Possible Cobaltstrike DNS C2 Domain","134.209.103.87","policy.sso-epg.com"
"startupstorey.com","Possible Cobaltstrike DNS C2 Domain","54.211.209.214","station.startupstorey.com"
"suiteb.io","Possible Cobaltstrike DNS C2 Domain","45.76.125.214","cdn.suiteb.io"
"sybercodesilver.lol","Possible Cobaltstrike DNS C2 Domain","194.15.102.26","1.sybercodesilver.lol"
"takaelot.com","Possible Cobaltstrike DNS C2 Domain","46.101.108.125","t.takaelot.com"
"theinternetsupply.com","Possible Cobaltstrike DNS C2 Domain","100.26.228.148","blue.theinternetsupply.com"
"trip2health.com","Possible Cobaltstrike DNS C2 Domain","34.227.192.200","failover.ns.0692994.trip2health.com ns.0692994.trip2health.com"
"unirorm.xyz","Possible Cobaltstrike DNS C2 Domain","124.220.29.161","c1.unirorm.xyz"
"unixkernelhelp.com","Possible Cobaltstrike DNS C2 Domain","140.82.23.123","ns1.unixkernelhelp.com"
"veriernano.com","Possible Cobaltstrike DNS C2 Domain","194.34.133.87","dns.veriernano.com veriernano.com"
"weathersin.com","Possible Cobaltstrike DNS C2 Domain","149.28.208.144","apple.weathersin.com"
"winexmarkets11.com","Possible Cobaltstrike DNS C2 Domain","54.226.51.227","peace.winexmarkets11.com"
"wizardsfinance.com","Possible Cobaltstrike DNS C2 Domain","34.226.249.189","machine.wizardsfinance.com"
"wpspcdn.com","Possible Cobaltstrike DNS C2 Domain","121.36.2.165","ns1.wpspcdn.com ns2.wpspcdn.com"
"x7z.mom","Possible Cobaltstrike DNS C2 Domain","199.195.251.219","ns8.x7z.mom"
"xiaopeng111.com","Possible Cobaltstrike DNS C2 Domain","101.91.154.125","ns1.xiaopeng111.com ns2.xiaopeng111.com ns3.xiaopeng111.com"
"xn--mil-ixy.com","Possible Cobaltstrike DNS C2 Domain","185.158.94.217","ns1.xn--mil-ixy.com ns2.xn--mil-ixy.com"
"zpepc.net","Possible Cobaltstrike DNS C2 Domain","140.99.19.231","ns1.zpepc.net ns2.zpepc.net ns3.zpepc.net"

