#domain,ioc
ns1.rememdam.xyz,Possible Cobalt Strike C2 Domain
ns1.scant.online,Possible Cobalt Strike C2 Domain
ns1.sfklla.vip,Possible Cobalt Strike C2 Domain
ns1.staticjs.xyz,Possible Cobalt Strike C2 Domain
ns1.uswatchcorp.com,Possible Cobalt Strike C2 Fronted Domain
ns1.xiaopeng111.com,Possible Cobalt Strike C2 Domain
ns1.xionoll.com,Possible Cobalt Strike C2 Domain
ns1.zengjunhe.top,Possible Cobalt Strike C2 Domain
ns2.007work.icu,Possible Cobalt Strike C2 Domain
ns2.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain
ns2.ace3.ru,Possible Cobalt Strike C2 Domain
ns2.alidns1.tk,Possible Cobalt Strike C2 Domain
ns2.aptce4.top,Possible Cobalt Strike C2 Domain
ns2.bustring.com,Possible Cobalt Strike C2 Domain
ns2.cdnmax.info,Possible Cobalt Strike C2 Domain
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns2.corpais900.co,Possible Cobalt Strike C2 Domain
ns2.crnbchina.top,Possible Cobalt Strike C2 Domain
ns2.ctfer.club,Possible Cobalt Strike C2 Domain
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns2.dnehtb.cn,Possible Cobalt Strike C2 Domain
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns2.glthub.icu,Possible Cobalt Strike C2 Domain
ns2.hkappdev.com,Possible Cobalt Strike C2 Domain
ns2.icbci.top,Possible Cobalt Strike C2 Domain
ns2.imortal.icu,Possible Cobalt Strike C2 Domain
ns2.m1crosoft.cloud,Possible Cobalt Strike C2 Domain
ns2.mammothspoon.xyz,Possible Cobalt Strike C2 Domain
ns2.microtimezone.com,Possible Cobalt Strike C2 Domain
ns2.niggerasssys.com,Possible Cobalt Strike C2 Domain
ns2.ossqianxin.co,Possible Cobalt Strike C2 Domain
ns2.peermanshuus.bio,Possible Cobalt Strike C2 Domain
ns2.rememdam.xyz,Possible Cobalt Strike C2 Domain
ns2.rtsafetech.com,Possible Cobalt Strike C2 Domain
ns2.scant.online,Possible Cobalt Strike C2 Domain
ns2.sfklla.vip,Possible Cobalt Strike C2 Domain
ns2.xiaopeng111.com,Possible Cobalt Strike C2 Domain
ns2.zengjunhe.top,Possible Cobalt Strike C2 Domain
ns3.007work.icu,Possible Cobalt Strike C2 Domain
ns3.ace3.ru,Possible Cobalt Strike C2 Domain
ns3.aliyunapis.com,Possible Cobalt Strike C2 Domain
ns3.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
