#ip,ioc
118.195.198.108,Possible Cobaltstrike C2 IP
118.195.228.82,Possible Cobaltstrike C2 IP
118.195.232.76,Possible Cobaltstrike C2 IP
118.24.128.43,Possible Cobaltstrike C2 IP
118.24.2.129,Possible Cobaltstrike C2 IP
118.24.37.245,Possible Cobaltstrike C2 IP
118.31.164.133,Possible Cobaltstrike C2 IP
118.31.248.229,Possible Cobaltstrike C2 IP
118.31.70.238,Possible Cobaltstrike C2 IP
118.31.8.234,Possible Cobaltstrike C2 IP
118.89.115.108,Possible Cobaltstrike C2 IP
118.89.125.171,Possible Cobaltstrike C2 IP
118.89.71.205,Possible Cobaltstrike C2 IP
119.13.106.46,Possible Cobaltstrike C2 IP
119.13.90.176,Possible Cobaltstrike C2 IP
119.148.49.49,Possible Cobaltstrike C2 IP
119.18.157.142,Possible Cobaltstrike C2 IP
119.251.162.17,Possible Metasploit C2 IP
119.29.82.40,Possible Cobaltstrike C2 IP
119.3.12.54,Possible Cobaltstrike C2 IP
119.3.194.221,Possible Cobaltstrike C2 IP
119.3.220.62,Possible Cobaltstrike C2 IP
119.3.236.233,Possible Cobaltstrike C2 IP
119.3.252.237,Possible Cobaltstrike C2 IP
119.45.11.236,Possible Cobaltstrike C2 IP
119.45.142.192,Possible Cobaltstrike C2 IP
119.45.191.104,Possible Cobaltstrike C2 IP
119.45.205.142,Possible Cobaltstrike C2 IP
119.45.243.177,Possible Cobaltstrike C2 IP
119.45.252.164,Possible Cobaltstrike C2 IP
119.91.109.228,Possible Cobaltstrike C2 IP
119.91.145.178,Possible Cobaltstrike C2 IP
119.91.20.97,Possible Cobaltstrike C2 IP
119.91.210.105,Possible Cobaltstrike C2 IP
119.91.217.230,Possible Cobaltstrike C2 IP
119.91.31.184,Possible Cobaltstrike C2 IP
119.91.31.246,Possible Cobaltstrike C2 IP
119.96.110.41,Possible Cobaltstrike C2 IP
119.96.233.154,Possible Cobaltstrike C2 IP
120.232.254.134,Possible Cobaltstrike C2 IP
120.24.38.217,Possible Cobaltstrike C2 IP
120.25.207.14,Possible Cobaltstrike C2 IP
120.26.101.16,Possible Cobaltstrike C2 IP
120.26.168.179,Possible Cobaltstrike C2 IP
120.26.192.139,Possible Cobaltstrike C2 IP
120.26.195.78,Possible Cobaltstrike C2 IP
120.26.46.50,Possible Cobaltstrike C2 IP
120.26.50.204,Possible Cobaltstrike C2 IP
120.26.72.194,Possible Cobaltstrike C2 IP
120.27.210.80,Possible Cobaltstrike C2 IP
120.27.94.139,Possible Cobaltstrike C2 IP
120.46.164.123,Possible Cobaltstrike C2 IP
120.46.169.156,Possible Cobaltstrike C2 IP
120.46.173.229,Possible Cobaltstrike C2 IP
120.46.210.49,Possible Cobaltstrike C2 IP
120.46.211.40,Possible Cobaltstrike C2 IP
120.46.213.150,Possible Metasploit C2 IP
120.46.219.85,Possible Cobaltstrike C2 IP
120.46.39.64,Possible Cobaltstrike C2 IP
120.48.101.89,Possible Cobaltstrike C2 IP
120.48.116.48,Possible Cobaltstrike C2 IP
120.48.117.104,Possible Cobaltstrike C2 IP
