#domain,ioc,uri_path,ip
leno.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d,172.105.192.139
lifeillus.securianretirementcenter.center,Possible Cobalt Strike C2 Domain,/search/,66.175.213.178
listen.appstored.store,Possible Cobalt Strike C2 Domain,/apple-3.3.1.min.js,5.188.230.55
local.cnbcheadlines.com,Possible Cobalt Strike C2 Domain,/default.jsp,107.22.105.161
local.cnbcheadlines.com,Possible Cobalt Strike C2 Domain,/default.jsp,54.164.170.197
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain,/api/3,101.35.198.64
machine.wizardsfinance.com,Possible Cobalt Strike C2 Domain,/j.ad,34.226.249.189
mail.admin666.xyz,Possible Cobalt Strike C2 Domain,/load,101.200.190.119
mail.cncb.info,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
meetlak.link,Possible Cobalt Strike C2 Domain,/api/3,139.159.196.229
miao.xiaogoubi.top,Possible Cobalt Strike C2 Domain,/idle/1376547834/1,125.128.113.108
micrusroft.com,Possible Cobalt Strike C2 Domain,/api/3,43.133.57.170
mortgagetf.com,Possible Cobalt Strike C2 Domain,/tab_shop_active,18.189.13.230
nc1.mlcr0s0ft.one,Possible Cobalt Strike C2 Domain,/api/3,45.32.253.112
net.healthyalwayss.com,Possible Cobalt Strike C2 Domain,/j.ad,44.201.241.22
netdevstudio.com,Possible Cobalt Strike C2 Domain,/es.css,192.3.76.138
netdevstudio.com,Possible Cobalt Strike C2 Domain,/get.css,91.103.253.6
netdevstudio.com,Possible Cobalt Strike C2 Domain,/get.css,91.103.253.8
netdevstudio.com,Possible Cobalt Strike C2 Domain,/lu,192.3.76.138
netdevstudio.com,Possible Cobalt Strike C2 Domain,/lu,91.103.253.6
netdevstudio.com,Possible Cobalt Strike C2 Domain,/lu,91.103.253.7
netdevstudio.com,Possible Cobalt Strike C2 Domain,/lu,91.103.253.8
network.drivespacenet.com,Possible Cobalt Strike C2 Domain,/www/handle/doc,143.92.39.125
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,8.212.44.149
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,8.212.49.116
nexgenemi.com,Possible Cobalt Strike C2 Domain,/index.get/files/ajaxonly/load,134.195.90.65
nexgenemi.com,Possible Cobalt Strike C2 Domain,/index.get/files/ajaxonly/saveprogress,134.195.90.65
nn.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,23.224.90.150
note.jianshu.com,Possible Cobalt Strike C2 Fronting Domain,/azure/api/v2/userinfo/get,39.107.250.164
ns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr,191.101.44.35
ns1.007work.icu,Possible Cobalt Strike C2 Domain,/cm,104.238.151.17
ns1.ace3.ru,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js,195.133.53.144
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,100.26.145.203
ns1.anaitea.com,Possible Cobalt Strike C2 Domain,/jquery.com/,154.211.18.108
ns1.bogotatrade.co,Possible Cobalt Strike C2 Fronted Domain,/search/,23.105.210.39
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain,/ptj,155.94.170.73
ns1.ccadn.org,Possible Cobalt Strike C2 Domain,/api/3,146.70.149.251
ns1.cdnmax.info,Possible Cobalt Strike C2 Domain,/ptj,64.176.35.130
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js,167.179.84.218
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
ns1.corpais900.co,Possible Cobalt Strike C2 Domain,/,45.136.255.189
ns1.digitelela.com,Possible Cobalt Strike C2 Fronted Domain,/search/,104.238.153.140
ns1.digitelela.com,Possible Cobalt Strike C2 Fronted Domain,/search/,64.176.7.118
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/preload,47.94.43.210
ns1.fcdncloud.link,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,185.239.84.203
ns1.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,23.224.90.150
ns1.libai.monster,Possible Cobalt Strike C2 Domain,/ptj,45.155.222.221
ns1.mlcr0s0ft.one,Possible Cobalt Strike C2 Domain,/api/3,45.32.253.112
ns1.tosohindia.cloudns.nz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,94.131.113.34
ns1.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/__utm.gif,101.91.154.125
ns2.007work.icu,Possible Cobalt Strike C2 Domain,/load,104.238.151.17
ns2.227api.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,103.146.141.98
ns2.ace3.ru,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js,195.133.53.144
ns2.anaitea.com,Possible Cobalt Strike C2 Domain,/jquery.com/,154.211.18.108
ns2.cdnmax.info,Possible Cobalt Strike C2 Domain,/j.ad,64.176.35.130
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js,167.179.84.218
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
ns2.corpais900.co,Possible Cobalt Strike C2 Domain,/,45.136.255.189
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/preload,47.94.43.210
ns2.fcdncloud.link,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,185.239.84.203
ns2.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,23.224.90.150
ns2.mammothspoon.xyz,Possible Cobalt Strike C2 Domain,/en_US/all.js,123.56.75.209
ns2.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/en_US/all.js,101.91.154.125
ns3.007work.icu,Possible Cobalt Strike C2 Domain,/cm,104.238.151.17
ns3.227api.com,Possible Cobalt Strike C2 Domain,/updates.rss,103.146.141.98
ns3.ace3.ru,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js,195.133.53.144
ns3.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
ns3.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/load,101.91.154.125
ns8.x7z.mom,Possible Cobalt Strike C2 Domain,/fwlink,199.195.251.219
oa.cncb.info,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
oary.10086.cn,Possible Cobalt Strike C2 Fronting Domain,/static/js/21.4ba2507c.js,39.105.107.87
office365.outlook.live.com,Possible Cobalt Strike C2 Fronting Domain,/preload,47.94.43.210
one.cloudfleras.com,Possible Cobalt Strike C2 Domain,/msdownload/update/v3/static/trustedr/en/authrootstl.cab,104.200.67.121
one.cloudfleras.com,Possible Cobalt Strike C2 Domain,/msdownload/update/v3/static/trustedr/en/authrootstl.cab,195.133.23.90
onlinetechdesk.com,Possible Cobalt Strike C2 Domain,/copyright,104.168.48.208
onlinetechdesk.com,Possible Cobalt Strike C2 Domain,/copyright,91.103.253.98
onlinetechdesk.com,Possible Cobalt Strike C2 Domain,/template.js,104.168.48.208
onlinetechdesk.com,Possible Cobalt Strike C2 Domain,/template.js,91.103.253.98
payloads.one,Possible Cobalt Strike C2 Domain,/r/webdev/comments/95ltyr,45.82.78.106
peace.winexmarkets11.com,Possible Cobalt Strike C2 Domain,/j.ad,54.226.51.227
phruit.shop,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,13.228.103.159
pic.micros0ft-security.org,Possible Cobalt Strike C2 Domain,/en_US/all.js,167.172.147.163
pinterest.com,Possible Cobalt Strike C2 Fronting Domain,/tab_shop.html,23.106.223.202
powellfamilydentist.com,Possible Cobalt Strike C2 Domain,/lu.js,137.184.101.24
ppt.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d,37.120.234.98
prod.ergonomic-survey.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,3.237.41.66
proxy.cdninternal.cloud,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,119.18.157.142
qianxin.edr-down.uk,Possible Cobalt Strike C2 Domain,/owa/,150.158.173.125
