#ip,ioc
125.75.36.120,Possible Cobaltstrike C2 IP
128.1.134.49,Possible Cobaltstrike C2 IP
128.199.227.4,Possible Cobaltstrike C2 IP
129.211.222.142,Possible Cobaltstrike C2 IP
13.231.210.125,Possible Cobaltstrike C2 IP
13.48.123.193,Possible Cobaltstrike C2 IP
13.68.216.103,Possible Cobaltstrike C2 IP
13.82.99.209,Possible Cobaltstrike C2 IP
132.148.72.83,Possible Cobaltstrike C2 IP
132.232.102.57,Possible Cobaltstrike C2 IP
132.232.103.48,Possible Cobaltstrike C2 IP
134.122.6.61,Possible Cobaltstrike C2 IP
134.209.103.87,Possible Cobaltstrike C2 IP
136.243.103.214,Possible Metasploit C2 IP
137.175.66.169,Possible Cobaltstrike C2 IP
137.184.237.252,Possible Cobaltstrike C2 IP
137.184.25.81,Possible Cobaltstrike C2 IP
137.220.133.105,Possible Cobaltstrike C2 IP
138.197.10.20,Possible Cobaltstrike C2 IP
138.91.118.255,Possible Cobaltstrike C2 IP
139.155.126.141,Possible Cobaltstrike C2 IP
139.155.154.67,Possible Cobaltstrike C2 IP
139.155.176.59,Possible Cobaltstrike C2 IP
139.155.42.254,Possible Cobaltstrike C2 IP
139.159.196.229,Possible Cobaltstrike C2 IP
139.159.203.44,Possible Cobaltstrike C2 IP
139.162.74.42,Possible Cobaltstrike C2 IP
139.196.110.126,Possible Cobaltstrike C2 IP
139.196.219.122,Possible Cobaltstrike C2 IP
139.196.47.225,Possible Cobaltstrike C2 IP
139.198.181.40,Possible Cobaltstrike C2 IP
139.199.180.136,Possible Cobaltstrike C2 IP
139.199.3.221,Possible Cobaltstrike C2 IP
139.224.207.208,Possible Cobaltstrike C2 IP
139.59.102.49,Possible Cobaltstrike C2 IP
139.59.139.136,Possible Cobaltstrike C2 IP
139.59.77.99,Possible Cobaltstrike C2 IP
139.9.134.16,Possible Cobaltstrike C2 IP
139.9.41.156,Possible Cobaltstrike C2 IP
139.9.68.173,Possible Cobaltstrike C2 IP
139.99.118.61,Possible Cobaltstrike C2 IP
14.29.187.171,Possible Cobaltstrike C2 IP
140.210.212.191,Possible Cobaltstrike C2 IP
